classe_name,calorie_per_100g
almond,578
apple,52
apricot,48
asparagus,20
avocado,160
bamboo shoots,27
banana,89
bean sprouts,30
biscuit,257
blueberry,57
bread,265
broccoli,34
cabbage,24
cake,354
candy,375
carrot,41
cashew,553
cauliflower,25
celery stick,14
cheese butter,432
cherry,50
chicken duck,197
chocolate,546
cilantro mint,23
coffee,2
corn,86
crab,83
cucumber,15
date,282
dried cranberries,308
egg,155
eggplant,24
enoki mushroom,37
fig,74
fish,84
French beans,31
french fries,274
fried meat,301
garlic,149
ginger,80
grape,69
green beans,31
hamburg,290
hanamaki baozi,268
ice cream,201
juice,45
kelp,43
king oyster mushroom,35
kiwi,61
lamb,294
lemon,29
lettuce,15
mango,65
melon,34
milk,60
milkshake,135
noodles,131
okra,31
olives,115
onion,42
orange,47
oyster mushroom,35
pasta,131
peach,39
peanut,567
pear,58
pepper,20
pie,237
pineapple,48
pizza,266
popcorn,387
potato,87
pudding,109
pumpkin,26
rape,0
raspberry,52
red beans,127
rice,130
salad,33
sauce,145
sausage,304
seaweed,45
shellfish,74
shiitake,34
shrimp,99
snow peas,42
soup,32
soy,416
steak,252
strawberry,32
tea,1
tofu,145
tomato,18
walnut,654
watermelon,30
white button mushroom,22
white radish,18
wonton dumplings,301
